dataset,pub,type,num,url
111111_publisher-activities,111111_publisher,activities,18,"https://aidstream.s3.us-west-2.amazonaws.com/xml/111111_publisher-activities.xml"
111111_publisher-org,111111_publisher,organisations,1,"https://aidstream.s3.us-west-2.amazonaws.com/xml/111111_publisher-org.xml"
12921047-activities,12921047,activities,12,"https://aidstream.s3.us-west-2.amazonaws.com/xml/12921047-activities.xml"
1-uz-org,1-uz,organisations,1,"https://aidstream.s3.us-west-2.amazonaws.com/xml/1-uz-org.xml"
1-uz-zw,1-uz,activities,1,"https://aidstream.s3.us-west-2.amazonaws.com/xml/1-uz-zw.xml"
3ie-artw,3ie,activities,1,"https://www.3ieimpact.org/sites/default/files/artw_2.xml"
3ie-dpw,3ie,activities,1,"https://www.3ieimpact.org/sites/default/files/dpw.xml"
3ie-htw,3ie,activities,1,"https://www.3ieimpact.org/sites/default/files/hatw.xml"
3ie-sptw,3ie,activities,1,"https://www.3ieimpact.org/sites/default/files/sptw.xml"
3ie-taw,3ie,activities,1,"https://www.3ieimpact.org/sites/default/files/tai_0.xml"
3ie-upw,3ie,activities,1,"https://www.3ieimpact.org/sites/default/files/upw_1.xml"
7272-activities,undefined,activities,0,"https://iatipublisher-prod.s3.amazonaws.com/xml/mergedActivityXml/7272-activities.xml"
7272-organisation,undefined,organisations,1,"https://iatipublisher-prod.s3.amazonaws.com/organizationXmlFiles/7272-organisation.xml"
7iberdotcom-activities,7iberdotcom,activities,1,"https://aidstream.s3.us-west-2.amazonaws.com/xml/7iberdotcom-activities.xml"
7iberdotcom-org,7iberdotcom,organisations,1,"https://aidstream.s3.us-west-2.amazonaws.com/xml/7iberdotcom-org.xml"
aab-activities,aab,activities,9,"https://aidstream.s3.us-west-2.amazonaws.com/xml/aab-activities.xml"
aab-org,aab,organisations,1,"https://aidstream.s3.us-west-2.amazonaws.com/xml/aab-org.xml"
aac-activities,aac,activities,1,"https://aidstream.s3.us-west-2.amazonaws.com/xml/aac-activities.xml"
aac-org,aac,organisations,1,"https://aidstream.s3.us-west-2.amazonaws.com/xml/aac-org.xml"
aadk-589,aadk,activities,1,"https://aidstream.s3.us-west-2.amazonaws.com/xml/aadk-589.xml"
aadk-998,aadk,activities,5,"https://aidstream.s3.us-west-2.amazonaws.com/xml/aadk-998.xml"
aadk-bd,aadk,activities,2,"https://aidstream.s3.us-west-2.amazonaws.com/xml/aadk-bd.xml"
aadk-et,aadk,activities,1,"https://aidstream.s3.us-west-2.amazonaws.com/xml/aadk-et.xml"
aadk-ke,aadk,activities,2,"https://aidstream.s3.us-west-2.amazonaws.com/xml/aadk-ke.xml"
aadk-lb,aadk,activities,1,"https://aidstream.s3.us-west-2.amazonaws.com/xml/aadk-lb.xml"
aadk-lr,aadk,activities,1,"https://aidstream.s3.us-west-2.amazonaws.com/xml/aadk-lr.xml"
aadk-ml,aadk,activities,1,"https://aidstream.s3.us-west-2.amazonaws.com/xml/aadk-ml.xml"
aadk-mm,aadk,activities,1,"https://aidstream.s3.us-west-2.amazonaws.com/xml/aadk-mm.xml"
aadk-mz,aadk,activities,2,"https://aidstream.s3.us-west-2.amazonaws.com/xml/aadk-mz.xml"
aadk-ng,aadk,activities,2,"https://aidstream.s3.us-west-2.amazonaws.com/xml/aadk-ng.xml"
aadk-org,aadk,organisations,1,"https://aidstream.s3.us-west-2.amazonaws.com/xml/aadk-org.xml"
aadk-ps,aadk,activities,2,"https://aidstream.s3.us-west-2.amazonaws.com/xml/aadk-ps.xml"
aadk-tz,aadk,activities,2,"https://aidstream.s3.us-west-2.amazonaws.com/xml/aadk-tz.xml"
aadk-ug,aadk,activities,2,"https://aidstream.s3.us-west-2.amazonaws.com/xml/aadk-ug.xml"
aadk-zm,aadk,activities,2,"https://aidstream.s3.us-west-2.amazonaws.com/xml/aadk-zm.xml"
aadk-zw,aadk,activities,2,"https://aidstream.s3.us-west-2.amazonaws.com/xml/aadk-zw.xml"
aag-activities,aag,activities,1,"https://aidstream.s3.us-west-2.amazonaws.com/xml/aag-activities.xml"
aag-org,aag,organisations,1,"https://aidstream.s3.us-west-2.amazonaws.com/xml/aag-org.xml"
aahusa-activities,aahusa,activities,2,"https://aidstream.s3.us-west-2.amazonaws.com/xml/aahusa-activities.xml"
aai-998,aai,activities,1,"https://aidstream.s3.us-west-2.amazonaws.com/xml/aai-998.xml"
aaik-activities,aaik,activities,7,"https://aidstream.s3.us-west-2.amazonaws.com/xml/aaik-activities.xml"
aaik-org,aaik,organisations,1,"https://aidstream.s3.us-west-2.amazonaws.com/xml/aaik-org.xml"
aain-activities,aain,activities,1,"https://aidstream.s3.us-west-2.amazonaws.com/xml/aain-activities.xml"
aaip-activities,aaip,activities,3,"https://aidstream.s3.us-west-2.amazonaws.com/xml/aaip-activities.xml"
aak-activities,aak,activities,1,"https://aidstream.s3.us-west-2.amazonaws.com/xml/aak-activities.xml"
aak-org,aak,organisations,1,"https://aidstream.s3.us-west-2.amazonaws.com/xml/aak-org.xml"
aanl-activities,aanl,activities,5,"https://aidstream.s3.us-west-2.amazonaws.com/xml/aanl-activities.xml"
aanl-org,aanl,organisations,1,"https://aidstream.s3.us-west-2.amazonaws.com/xml/aanl-org.xml"
aar-activities,aar,activities,3,"https://aidstream.s3.us-west-2.amazonaws.com/xml/aar-activities.xml"
aar-org,aar,organisations,1,"https://aidstream.s3.us-west-2.amazonaws.com/xml/aar-org.xml"
aas-300781-105,aas,activities,1,"https://aidstream.s3.amazonaws.com/xml/aas-activities.xml"
aasaman-gec,aasaman,activities,1,"https://www.vsointernational.org/sites/default/files/aasaman_gec.xml"
aas-org,aas,organisations,1,"https://aidstream.s3.amazonaws.com/xml/aas-org.xml"
aauk-activities,aauk,activities,103,"https://aidstream.s3.us-west-2.amazonaws.com/xml/aauk-activities.xml"
aauk-org,aauk,organisations,1,"https://aidstream.s3.us-west-2.amazonaws.com/xml/aauk-org.xml"
