dataset,pub,error,url
aasaman-gec,aasaman,Converting IATI activities version 1.03 to version 2.03,"https://www.vsointernational.org/sites/default/files/aasaman_gec.xml"
acaa-org,acaa,Converting IATI organisations version 1.02 to version 2.03,"https://aidstream.s3.us-west-2.amazonaws.com/xml/acaa-org.xml"
acord-org,acord,Converting IATI organisations version 1.03 to version 2.03,"https://aidstream.s3.us-west-2.amazonaws.com/xml/acord-org.xml"
across-activity,across,Converting IATI activities version 1.03 to version 2.03,"https://raw.githubusercontent.com/IATI/CSV2IATI-public-backup/master/1438265647.22.xml"
across-org,across,Converting IATI organisations version 1.03 to version 2.03,"https://aidstream.s3.us-west-2.amazonaws.com/xml/across-org.xml"
acted-activities,acted,Converting IATI activities version 1.03 to version 2.03,"https://aidstream.s3.us-west-2.amazonaws.com/xml/acted-activities.xml"
acted-org,acted,Converting IATI organisations version 1.03 to version 2.03,"https://aidstream.s3.us-west-2.amazonaws.com/xml/acted-org.xml"
addinternational-998,addinternational,Converting IATI activities version 1.03 to version 2.03,"https://aidstream.s3.us-west-2.amazonaws.com/xml/addinternational-998.xml"
adrasom-egep,adrasom,Converting IATI activities version 1.03 to version 2.03,"https://raw.githubusercontent.com/IATI/CSV2IATI-public-backup/master/1461924277.35.xml"
adrasom-somgep,adrasom,Converting IATI activities version 1.03 to version 2.03,"https://raw.githubusercontent.com/IATI/CSV2IATI-public-backup/master/1461923899.85.xml"
af-14,af,Converting IATI activities version 1.03 to version 2.03,"https://raw.githubusercontent.com/IATI/CSV2IATI-public-backup/master/1397049497.46.xml"
afdi-fr-activity,afdi-fr,curl: download ERROR 404,"http://rsr.akvo.org/organisation/5280/iati/"
afdi-fr-activity,afdi-fr,dflat: input XML file does not exist,"http://rsr.akvo.org/organisation/5280/iati/"
afdi-fr-activity,afdi-fr,restored 0 files,"http://rsr.akvo.org/organisation/5280/iati/"
afd-sl,afd,curl: download ERROR 404,"https://static.data.gouv.fr/resources/donnees-de-laide-au-developpement-de-lafd-1/20180713-091544/fr-AFD-SL.xml"
afd-sl,afd,dflat: input XML file does not exist,"https://static.data.gouv.fr/resources/donnees-de-laide-au-developpement-de-lafd-1/20180713-091544/fr-AFD-SL.xml"
afd-sl,afd,restored 2 files,"https://static.data.gouv.fr/resources/donnees-de-laide-au-developpement-de-lafd-1/20180713-091544/fr-AFD-SL.xml"
afd-sy,afd,curl: download ERROR 404,"https://static.data.gouv.fr/resources/donnees-de-laide-au-developpement-de-lafd-1/20180202-114229/fr-AFD-SY.xml"
afd-sy,afd,dflat: input XML file does not exist,"https://static.data.gouv.fr/resources/donnees-de-laide-au-developpement-de-lafd-1/20180202-114229/fr-AFD-SY.xml"
afd-sy,afd,restored 0 files,"https://static.data.gouv.fr/resources/donnees-de-laide-au-developpement-de-lafd-1/20180202-114229/fr-AFD-SY.xml"
aflatoun-apr2015,aflatoun,dflat: invalid XML format,"https://aflatoun.box.com/v/iati-2015april"
aflatoun-apr2015,aflatoun,restored 0 files,"https://aflatoun.box.com/v/iati-2015april"
afsc-bbb-1,afsc,curl: download ERROR 503,"http://iati.redeenkind.nl/MmeM/IATI-activities.xml"
afsc-bbb-1,afsc,dflat: input XML file does not exist,"http://iati.redeenkind.nl/MmeM/IATI-activities.xml"
afsc-bbb-1,afsc,restored 1 files,"http://iati.redeenkind.nl/MmeM/IATI-activities.xml"
aics-389,aics,curl: download ERROR 404,"http://openaid.aics.gov.it/iati/aics-389.xml"
aics-389,aics,dflat: input XML file does not exist,"http://openaid.aics.gov.it/iati/aics-389.xml"
aics-389,aics,restored 22 files,"http://openaid.aics.gov.it/iati/aics-389.xml"
aics-798,aics,curl: download ERROR 404,"http://openaid.aics.gov.it/iati/aics-798.xml"
aics-798,aics,dflat: input XML file does not exist,"http://openaid.aics.gov.it/iati/aics-798.xml"
aics-798,aics,restored 5 files,"http://openaid.aics.gov.it/iati/aics-798.xml"
aics-88,aics,curl: download ERROR 404,"http://openaid.aics.gov.it/iati/aics-88.xml"
aics-88,aics,dflat: input XML file does not exist,"http://openaid.aics.gov.it/iati/aics-88.xml"
aics-88,aics,restored 3 files,"http://openaid.aics.gov.it/iati/aics-88.xml"
aics-cg,aics,curl: download ERROR 404,"http://openaid.aics.gov.it/iati/aics-cg.xml"
aics-cg,aics,dflat: input XML file does not exist,"http://openaid.aics.gov.it/iati/aics-cg.xml"
aics-cg,aics,restored 2 files,"http://openaid.aics.gov.it/iati/aics-cg.xml"
aics-la,aics,curl: download ERROR 404,"http://openaid.aics.gov.it/iati/aics-la.xml"
aics-la,aics,dflat: input XML file does not exist,"http://openaid.aics.gov.it/iati/aics-la.xml"
aics-la,aics,restored 5 files,"http://openaid.aics.gov.it/iati/aics-la.xml"
aics-me,aics,curl: download ERROR 404,"http://openaid.aics.gov.it/iati/aics-me.xml"
aics-me,aics,dflat: input XML file does not exist,"http://openaid.aics.gov.it/iati/aics-me.xml"
